Cavité :	Scialet Apocalypso
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		 Apocalypso																855385.7	3309470.6	1426.7			Grotte en falaise

Galerie :	Galerie d'entrée
Date du lever : 	16/04/2016	Déclinaison = 	1° 26'
Operateurs :	Jean-Paul Héreil
mesures des longueurs :	DistoX
mesures des Azimuts :	Boussole Shunto	 en degrés
mesures des Pentes :	DistoX	 en degrés
	 Apocalypso	>< 1	 260.0 °	   8.2 °		3.67				0.5	0.5		1.5	   8.2 °	0.52	3.67	3.63	855382.1	3309469.9	1427.2	3.6		

	1	   2	 290.0 °	 -82.5 °		5.85				0.5	1.8	1.8		 -82.5 °	-5.80	5.85	0.76	855381.4	3309470.1	1421.4	4.4		point 1 = spit entrée

	2	   3	 333.0 °	 -12.0 °		2.37				0.5		1.0	0.5	 -12.0 °	-0.49	2.37	2.32	855380.3	3309472.2	1420.9	6.7		

	3	   4	 225.0 °	 -51.3 °		4.16				0.3	0.5	1.0		 -51.3 °	-3.25	4.16	2.60	855378.5	3309470.3	1417.7	9.3		

	4	   5	 180.0 °	  -8.5 °		0.89				2.0				  -8.5 °	-0.13	0.89	0.88	855378.5	3309469.4	1417.6	10.2		

	5	   6	   0.0 °	 -90.0 °		4.16				2.0		3.0		 -90.0 °	-4.16	4.16		855378.5	3309469.4	1413.4	10.2		5 = haut du puits

	6	   7	 265.0 °	 -39.4 °		4.63				0.3	0.3	3.0		 -39.4 °	-2.94	4.63	3.58	855374.9	3309469.1	1410.5	13.8		

	7	   8	 315.0 °	 -45.1 °		0.94				0.3	0.3	3.0		 -45.1 °	-0.67	0.94	0.66	855374.5	3309469.5	1409.8	14.4		

	8	   9	 325.0 °	 -20.5 °		1.47				1.5	0.5	2.0		 -20.5 °	-0.51	1.47	1.38	855373.7	3309470.6	1409.3	15.8		

	9	   10	  60.0 °			1.00				0.3		0.5				1.00	1.00	855374.5	3309471.2	1409.3	16.8		

	10	   11	 150.0 °			1.00										1.00	1.00	855375.0	3309470.3	1409.3	17.8		11 sur arrêt méandre mondmilcheux impénétrable

