Cavité :	Caf 225 Soleil Trompeur
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		CAF 225																855537.1	3309094.7	1445.0			

Galerie :	Galerie d'entrée
Date du lever : 	08/11/2014	Déclinaison = 	1° 0'
Operateurs :	Clément Garnier	Jean Héraud
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Shunto	 en degrés
mesures des Pentes :	Shunto	 en degrés
	CAF 225	>< 1_0	   0.0 °	i 						1.0	1.0			  90.0 °				855537.1	3309094.7	1445.0			

	1_0	   1_1	 300.0 °	i   50.0 °		4.70								 -50.0 °	-3.60	4.70	3.02	855534.5	3309096.3	1441.4	3.0		

	1_1	   1_2	   5.0 °	i   15.0 °		2.40								 -15.0 °	-0.62	2.40	2.32	855534.8	3309098.6	1440.8	5.3		

	1_2	   1_3	 282.0 °	i   20.0 °		4.80								 -20.0 °	-1.64	4.80	4.51	855530.4	3309099.6	1439.1	9.8		

	1_3	->  2_3	 221.0 °	i 		3.40										3.40	3.40	855528.1	3309097.1	1439.1	13.2		

	1_3	->  2_1	   0.0 °	i   30.0 °		3.60								 -30.0 °	-1.80	3.60	3.12	855530.4	3309102.7	1437.3	13.0		

	2_1	   2_2	  55.0 °	i  -30.0 °		2.90								  30.0 °	1.45	2.90	2.51	855532.5	3309104.1	1438.8	15.5		

	1_3	^   1_4	 316.0 °	i   12.0 °		4.00								 -12.0 °	-0.83	4.00	3.91	855527.7	3309102.5	1438.3	13.8		

	1_4	   1_5	   0.0 °	i   90.0 °		1.40								 -90.0 °	-1.40	1.40		855527.7	3309102.5	1436.9	13.8		

	1_5	   1_6	 234.0 °	i   51.0 °		3.20								 -51.0 °	-2.49	3.20	2.01	855526.1	3309101.3	1434.4	15.8		

Date du lever : 	07/02/2015	Déclinaison = 	1° 2'
Operateurs :	Jean-Paul Héreil
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
