Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;GDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;Mount point;CS name;GPS Satellites;GLONASS Satellites;Galileo Satellites;BeiDou Satellites;QZSS Satellites
Serpent;;902539.179;6442038.09;1340.864;;5.57296892;45.04789099;1392.318;Global;0.028;0.062;0.08;0.068;0.134;m;FIX;2024-05-20 09:54:31.6 UTC+02:00;2024-05-20 09:54:31.6 UTC+02:00;1;5.4;7.1;926685.11;6467752.908;234.618;5.89140627;45.27177065;285.471;35319.931;CRO2;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;5;5;4;1;0
Serpent1;;902539.172;6442038.089;1340.875;;5.57296883;45.04789098;1392.328;Global;0.02;0.031;0.043;0.037;0.134;m;FIX;2024-05-20 09:54:56.4 UTC+02:00;2024-05-20 09:54:56.4 UTC+02:00;1;3.6;4.6;926685.11;6467752.908;234.618;5.89140627;45.27177065;285.471;35319.937;CRO2;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;5;5;4;1;0
caf225?;;903137.944;6440814.386;1426.796;;5.5800622;45.03670293;1478.307;Global;0.044;0.045;0.117;0.063;2.134;m;FLOAT;2024-05-20 10:35:17.4 UTC+02:00;2024-05-20 10:35:27.4 UTC+02:00;51;2.4;2.8;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10673.314;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;3;0;0
caf225?1;;903137.723;6440814.303;1427.132;;5.58005936;45.03670225;1478.643;Global;0.034;0.041;0.086;0.053;2.134;m;FLOAT;2024-05-20 10:36:10.2 UTC+02:00;2024-05-20 10:36:20.2 UTC+02:00;51;2.7;3.4;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10673.408;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;3;0;0
caf225?2;;903137.657;6440814.204;1427.189;;5.58005848;45.03670138;1478.7;Global;0.029;0.042;0.097;0.051;2.134;m;FLOAT;2024-05-20 10:36:57.8 UTC+02:00;2024-05-20 10:37:07.8 UTC+02:00;51;2.6;3.2;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10673.326;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;3;0;0
caf225?3;;903137.665;6440814.261;1427.136;;5.5800586;45.03670189;1478.648;Global;0.03;0.039;0.124;0.05;2.134;m;FLOAT;2024-05-20 10:37:40.8 UTC+02:00;2024-05-20 10:37:50.8 UTC+02:00;51;2.6;3.3;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10673.379;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;3;0;0
caf225?bis3;;903158.058;6440791.084;1431.345;;5.58030782;45.03648731;1482.858;Global;0.047;0.038;0.087;0.06;2.134;m;FLOAT;2024-05-20 10:47:08.4 UTC+02:00;2024-05-20 10:47:18.4 UTC+02:00;51;1.9;2.3;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10642.924;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;4;0;0
caf225?bis4;;903158.468;6440791.022;1431.589;;5.58031299;45.03648664;1483.101;Global;0.043;0.036;0.087;0.056;2.134;m;FLOAT;2024-05-20 10:47:45.0 UTC+02:00;2024-05-20 10:47:55.0 UTC+02:00;51;1.9;2.3;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10642.65;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;8;6;4;0;0
caf225?bis5;;903158.63;6440790.97;1431.804;;5.58031503;45.03648612;1483.316;Global;0.037;0.037;0.07;0.052;2.134;m;FLOAT;2024-05-20 10:48:04.0 UTC+02:00;2024-05-20 10:48:14.0 UTC+02:00;51;2.1;2.5;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10642.55;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;4;0;0
fjs P08;;903575.699;6440484.78;1615.868;profond;5.58548115;45.0336079;1667.391;Global;0.026;0.025;0.012;0.036;2.134;m;FIX;2024-05-20 11:09:00.0 UTC+02:00;2024-05-20 11:09:10.0 UTC+02:00;51;1.6;1.9;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;10167.298;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;8;6;3;0;0
NB;;902913.15;6439306.375;1761.084;;5.57658436;45.02319838;1812.669;Global;0.012;0.015;0.014;0.019;2.134;m;FIX;2024-05-20 12:06:25.0 UTC+02:00;2024-05-20 12:06:35.0 UTC+02:00;51;1.7;2;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9643.605;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;5;0;0
NB;;902913.159;6439306.39;1761.085;;5.57658448;45.02319852;1812.669;Global;0.011;0.01;0.012;0.015;2.134;m;FIX;2024-05-20 12:06:37.2 UTC+02:00;2024-05-20 12:06:37.8 UTC+02:00;4;1.7;2;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9643.611;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;5;0;0
NB;;902913.162;6439306.38;1761.082;;5.57658451;45.02319842;1812.667;Global;0.013;0.019;0.013;0.023;2.134;m;FIX;2024-05-20 12:06:39.4 UTC+02:00;2024-05-20 12:06:49.4 UTC+02:00;51;1.7;2;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9643.6;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;5;0;0
Brumes matinales ;;902837.273;6439041.889;1770.38;;5.57551205;45.02084056;1821.975;Global;0.117;0.113;0.292;0.163;2.134;m;SINGLE;2024-05-20 12:21:23.0 UTC+02:00;2024-05-20 12:21:33.0 UTC+02:00;51;1.3;1.5;;;;;;;;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;;;;;
Brumes matinales 1;;902837.499;6439042.054;1772.634;;5.57551498;45.02084198;1824.229;Global;0.162;0.101;0.29;0.191;0.134;m;SINGLE;2024-05-20 12:21:39.0 UTC+02:00;2024-05-20 12:21:49.0 UTC+02:00;51;1.3;1.5;;;;;;;;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;;;;;
blizzard ;;902886.39;6438906.864;1800.214;;5.57607936;45.01961104;1851.813;Global;0.01;0.01;0.011;0.014;0.134;m;FIX;2024-05-20 12:28:44.4 UTC+02:00;2024-05-20 12:28:54.4 UTC+02:00;51;1.5;1.8;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9368.037;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;5;0;0
blizzard 1;;902886.39;6438906.863;1800.216;;5.57607935;45.01961104;1851.816;Global;0.01;0.01;0.013;0.015;0.134;m;FIX;2024-05-20 12:28:56.4 UTC+02:00;2024-05-20 12:29:06.4 UTC+02:00;51;1.5;1.8;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9368.041;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;6;6;5;0;0
silence;;902917.919;6438666.249;1844.713;;5.57637975;45.01743649;1896.321;Global;0.018;0.015;0.01;0.024;2.134;m;FIX;2024-05-20 12:38:51.4 UTC+02:00;2024-05-20 12:39:01.4 UTC+02:00;51;1.5;1.7;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9176.387;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;5;0;0
silence;;902917.927;6438666.231;1844.715;;5.57637985;45.01743632;1896.322;Global;0.011;0.012;0.011;0.016;2.134;m;FIX;2024-05-20 12:39:03.2 UTC+02:00;2024-05-20 12:39:13.2 UTC+02:00;51;1.5;1.7;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9176.376;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;7;5;0;0
silence puits;;902924.068;6438664.7;1843.378;;5.57645712;45.01742074;1894.986;Global;0.027;0.019;0.01;0.033;2.134;m;FIX;2024-05-20 12:41:50.4 UTC+02:00;2024-05-20 12:42:00.4 UTC+02:00;51;1.4;1.6;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;9170.933;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;7;5;0;0
pre achard;;902963.384;6438407.625;1828.67;;5.57684947;45.01509578;1880.286;Global;0.017;0.021;0.012;0.027;2.134;m;FIX;2024-05-20 12:49:38.8 UTC+02:00;2024-05-20 12:49:48.8 UTC+02:00;51;1.6;1.9;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;8958.049;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;5;0;0
pre achard1;;902963.54;6438408.822;1830.892;;5.57685195;45.0151065;1882.508;Global;0.432;0.42;0.454;0.603;2.134;m;SINGLE;2024-05-20 12:49:59.0 UTC+02:00;2024-05-20 12:50:09.0 UTC+02:00;51;1.5;1.7;;;;;;;;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;;;;;
pre achard2;;902963.873;6438408.004;1828.915;;5.57685583;45.01509904;1880.531;Global;0.133;0.123;0.392;0.181;2.134;m;SINGLE;2024-05-20 13:15:06.2 UTC+02:00;2024-05-20 13:15:16.2 UTC+02:00;51;1.6;2;;;;;;;;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;;;;;
check lidar;;902880.037;6437952.335;1944.143;;5.57560356;45.01102311;1995.777;Global;0.022;0.019;0.014;0.029;2.134;m;FIX;2024-05-20 13:47:54.2 UTC+02:00;2024-05-20 13:48:04.2 UTC+02:00;51;1.6;1.9;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;8714.469;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;8;4;0;0
Nymphe Emue;;902944.695;6437510.859;2028.565;;5.57624104;45.00703128;2080.213;Global;0.017;0.013;0.012;0.021;2.134;m;FIX;2024-05-20 14:12:04.0 UTC+02:00;2024-05-20 14:12:14.0 UTC+02:00;51;1.5;1.7;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;8384.279;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;7;5;0;0
Nymphe Emue1;;902944.692;6437510.858;2028.563;;5.576241;45.00703128;2080.211;Global;0.013;0.016;0.012;0.02;2.134;m;FIX;2024-05-20 14:12:17.8 UTC+02:00;2024-05-20 14:12:27.8 UTC+02:00;51;1.6;1.9;909195.042;6432054.015;873.927;5.65319927;44.95606327;925.603;8384.296;avr-02;RGF93 / Lambert-93 + NGF-IGN69(RAF18B) height;7;6;5;0;0
