Scialets;Z;X;Y
Trou Fauge;1297;702956;4991237
Perte de la Fauge;1326;703025;4990973
Scialet 1 de la Fauge;1326;703086;4990996
CAF135;1349;703007;4990277
CAF136;1355;703245;4990252
CAF 216;1389;703029;4990576
Scialet Feutré ;1421;703378;4990271
Saut de l'ange;1422;702808;4990998
CAF 159;1432;703287;4990229
CAF 225;1440;703240;4990246
CAF 226;1450;703230;4990246
CAF 158;1478;703351;4990118
CAF 213 ;1480;703313;4990074
CAF 212;1480;703322;4990067
CAF 311;1478;703331;4990089
CAF 165;1496;702979;4989619
CAF 137;1526;703282;4989904
E110;1538;703235;4989630
YB03-25;1541;702934;4989541
FJS 17;1547;703302;4989851
CAF 148;1552;702985;4989483
CAF130;1557;703526;4990037
Chambre froide;1570;703218;4989471
TD 07 ;1570;702951;4989538
TD 09;1570;702933;4989555
CAF93;1572;703497;4989959
YB 3 26;1577;702994;4989346
Scialet Candy;1584;702998;4989356
TQF;1586;703225;4989422
TM1;1590;703002;4989329
FF;1591;703223;4989406
CAF147;1591;703220;4989427
CAF 131;1593;703218;4989461
CAF 210;1594;703266;4989401
Scialet Tout Fauge;1595;703025;4989275
Faille-385g-p60;1599;702977;4989269
FJS23;1606;703426;4989752
Femmes Fortes;1607;703236;4989349
Scialet de la Malléole;1610;703075;4989242
CAF146;1611;703231;4989332
YB 03-30;1613;703012;4989203
YB 3-34;1619;703026;4989173
Scialet Amadjide;1624;703251;4989302
CAF 152;1627;703104;4989259
CAF144;1634;703269;4989253
YB03-40;1637;703249;4989160
YB 3 39;1640;703257;4989138
Sc 63F3;1652;703396;4989448
E4 Gte du Clos d'Aspres;1657;702897;4989133
YB05-35;1659;703139;4989133
CAF 141;1660;703407;4989467
CAF140;1673;703446;4989479
Grotte du Clos d'Aspres;1678;702943;4989057
Gr. Clos D'Aspres E2;1680;702915;4989060
YB non marqué;1680;703245;4988928
Grotte des Tritons;1681;702857;4989141
E143;1696;703507;4989484
F de Biboc;1700;703274;4988869
Scialet du Coucou;1710;703443;4989214
5 NM;1712;703445;4989209
CAF143;1715;703450;4989210
F bis;1735;703325;4988807
Antre des glaces;1749;703376;4988750
Nuits blanches;1760;702991;4988782
Scialet des Flippés;1790;703423;4988705
Arche;1805;703403;4988700
YB44;1680;703248;4988933
YB45;1680;703241;4988916
YB45b;1680;703249;4988922
YB48;1680;703247;4988934
E3 (entrée la plus basse);;;
F2;;703400;4989830
F3;;703395;4989200
Grotte Brise de Coeur;1670;703219;4989021
Scialet des 3 méandres;1670;703213;4989015
FJS ?;1654;703369;4989332
